humidity,temperature,tavg,tmin,tmax,prcp,tsun,weight
90.18652777777775,7.431986443236716,-2.0,-6.3,2.9,0.0,504,51.50350131944444
93.07451388888887,6.354862711352657,-4.2,-7.6,-0.3,0.0,480,51.5229688888889
95.61951388888887,7.13807353562802,-2.7,-8.1,2.9,0.0,402,51.44717166666669
93.29027777777776,9.669794595410629,1.2,-3.5,5.0,5.9,0,51.45432180555557
92.24611111111108,11.545804830917875,3.0,0.8,5.0,0.0,0,51.40508888888889
91.214375,11.516257518115944,1.8,0.1,4.1,0.4,36,51.36237659722223
91.32270833333337,11.673543131038649,2.8,1.1,5.0,0.1,0,51.34662048611112
93.1325,13.33437382246377,4.1,1.1,9.1,0.1,42,51.271580138888886
91.00638888888886,13.32595935990338,4.5,0.7,8.0,1.6,264,51.15782506944445
92.26645833333332,13.96001754227053,4.7,1.9,8.6,0.0,396,51.022240416666655
91.31576388888888,13.178081219806764,3.7,1.2,6.9,0.0,42,50.89780555555554
91.41222222222224,13.103353396739127,2.5,0.1,6.0,0.3,156,50.84343381944444
91.62104166666668,11.534402792874394,0.9,-1.3,5.0,0.0,378,50.678775416666674
90.10069444444444,8.577688919082126,-1.5,-3.8,0.4,0.0,0,50.61381937500001
90.22208333333334,9.825184797705315,-0.2,-1.1,0.8,0.0,0,50.57008694444442
92.74763888888889,11.884489341787438,1.4,-2.9,7.1,0.0,486,50.442068958333344
93.3114583333333,9.871825875603866,0.4,-1.1,1.3,0.0,0,50.378403194444445
88.40116666666667,12.872558318236711,3.1,0.3,9.4,0.0,414,50.21208486111109
87.62848611111112,12.09538860205314,3.3,-1.5,9.4,0.0,564,50.07613048611108
86.88378472222222,10.318743900966185,2.3,-3.4,9.1,0.0,552,50.012841319444426
88.35095138888887,10.19380569142512,3.1,-2.0,10.3,1.8,240,49.91633402777782
88.26125000000002,10.494512817028989,5.9,3.3,8.8,1.1,156,49.9738479861111
88.64270833333336,10.44902942330918,5.4,1.3,7.6,0.0,0,49.95848416666664
89.65784722222223,9.17893025362319,2.7,-2.5,7.6,0.1,108,49.92752361111109
89.29090277777776,11.091452596618357,6.6,4.3,8.7,1.7,0,49.88387097222224
92.61104166666668,13.718310537439612,9.3,7.7,11.3,1.9,0,49.88130034722224
91.62465277777778,13.331340277777777,9.3,8.6,10.0,0.8,0,49.80722333333333
84.51845138888889,13.667048082729467,9.7,6.3,15.0,1.2,174,49.72004104166667
73.23195833333334,10.198873746980675,5.2,1.2,8.5,0.0,372,49.57897201388888
82.89356250000002,9.17282958937198,3.2,-2.4,9.9,0.0,354,49.56743791666671
77.23838888888888,12.60358337862319,7.2,2.2,13.3,0.0,372,49.439744097222224
75.81672916666668,16.136165760869563,9.7,6.5,15.1,7.8,294,49.25202361111112
81.14340277777778,10.659617149758454,5.6,3.4,9.2,2.4,174,49.19130715277775
81.48640972222223,9.2981514794686,5.5,3.0,9.3,2.4,78,49.160902222222205
