humidity,tavg,tmin,tmax,prcp,tsun,weight
91.32270833333337,2.8,1.1,5.0,0.1,0,51.34662048611112
93.1325,4.1,1.1,9.1,0.1,42,51.271580138888886
91.00638888888886,4.5,0.7,8.0,1.6,264,51.15782506944445
92.26645833333332,4.7,1.9,8.6,0.0,396,51.022240416666655
91.31576388888888,3.7,1.2,6.9,0.0,42,50.89780555555554
91.41222222222224,2.5,0.1,6.0,0.3,156,50.84343381944444
91.62104166666668,0.9,-1.3,5.0,0.0,378,50.678775416666674
90.10069444444444,-1.5,-3.8,0.4,0.0,0,50.61381937500001
90.22208333333334,-0.2,-1.1,0.8,0.0,0,50.57008694444442
92.74763888888889,1.4,-2.9,7.1,0.0,486,50.442068958333344
93.3114583333333,0.4,-1.1,1.3,0.0,0,50.378403194444445
88.40116666666667,3.1,0.3,9.4,0.0,414,50.21208486111109
87.62848611111112,3.3,-1.5,9.4,0.0,564,50.07613048611108
86.88378472222222,2.3,-3.4,9.1,0.0,552,50.012841319444426
88.35095138888887,3.1,-2.0,10.3,1.8,240,49.91633402777782
88.26125000000002,5.9,3.3,8.8,1.1,156,49.9738479861111
88.64270833333336,5.4,1.3,7.6,0.0,0,49.95848416666664
89.65784722222223,2.7,-2.5,7.6,0.1,108,49.92752361111109
89.29090277777776,6.6,4.3,8.7,1.7,0,49.88387097222224
92.61104166666668,9.3,7.7,11.3,1.9,0,49.88130034722224
91.62465277777778,9.3,8.6,10.0,0.8,0,49.80722333333333
84.51845138888889,9.7,6.3,15.0,1.2,174,49.72004104166667
73.23195833333334,5.2,1.2,8.5,0.0,372,49.57897201388888
82.89356250000002,3.2,-2.4,9.9,0.0,354,49.56743791666671
77.23838888888888,7.2,2.2,13.3,0.0,372,49.439744097222224
75.81672916666668,9.7,6.5,15.1,7.8,294,49.25202361111112
81.14340277777778,5.6,3.4,9.2,2.4,174,49.19130715277775
81.48640972222223,5.5,3.0,9.3,2.4,78,49.160902222222205
72.08386111111112,7.9,5.7,10.5,0.0,342,49.109659444444446
72.54627777777776,6.6,1.7,11.2,0.0,288,49.0541117361111
75.9237777777778,8.7,1.0,16.5,0.0,402,48.94353020833336
76.15171527777777,7.7,4.6,12.5,2.6,180,48.83714923611112
83.55777777777779,5.4,4.1,8.5,2.2,18,48.83859944444445
85.71404166666667,5.3,3.2,8.6,0.1,156,48.78578868055556
84.96403472222222,5.1,1.2,8.5,5.1,0,48.80949944444449
87.45196527777779,8.9,6.0,14.0,8.3,72,48.77778701388891
78.58217361111112,6.7,1.1,10.4,0.0,252,48.61769083333334
81.36616666666667,5.1,-0.7,11.6,0.0,348,48.596617986111134
78.1363888888889,5.8,0.0,12.4,0.0,642,48.44709354166667
78.90818055555555,5.2,-0.7,11.5,0.0,462,48.4451588888889
79.6541111111111,7.7,0.0,15.0,0.0,528,48.43288319444445
84.38550694444443,9.2,4.0,14.1,0.0,144,48.64538631944444
86.82486805555556,9.4,2.3,16.7,0.0,642,48.818684583333344
80.96656250000001,9.0,2.7,14.5,2.0,294,49.09600805555556
86.136375,8.4,6.4,10.3,13.3,6,49.03837909722224
89.90055555555556,10.6,7.9,13.5,0.3,42,49.028634791666654
80.17863194444443,11.1,8.7,13.5,0.0,30,48.944433263888925
81.3509375,9.0,5.1,11.7,5.1,0,48.849176458333325
85.96333333333332,6.0,4.6,7.2,0.1,6,48.69548545277778
90.18305555555555,8.5,5.6,13.6,0.0,72,48.70176000000003
87.43638888888887,8.2,5.0,12.8,0.0,198,48.59887000000001
81.4155138888889,9.1,2.8,15.8,0.0,684,48.5337770138889
74.30504166666667,10.0,2.2,17.9,0.0,738,48.26997944444445
72.5793888888889,11.9,1.5,21.2,0.0,726,48.24216868055556
66.16290972222221,14.4,8.7,18.7,0.0,504,48.23258972222221
71.54994444444445,14.1,7.2,20.2,0.0,630,48.313874236111104
72.01129166666666,15.5,7.0,24.1,0.0,636,48.58686034722223
71.05686111111112,14.7,6.9,22.6,0.0,576,48.84514694444446
78.14608333333332,13.4,10.2,18.7,0.0,312,49.01119993055556
80.55461111111111,12.7,7.6,18.8,0.0,366,49.27333333333332
84.74297916666667,9.6,4.7,15.9,0.0,312,49.41834208333333
85.13347222222222,9.7,3.6,14.7,0.0,402,49.46749743055556
88.2917638888889,8.3,5.1,12.8,0.0,336,49.54292395833334
93.43597222222223,8.6,5.7,11.0,0.0,72,49.69633326388888
94.00743055555556,10.8,5.8,15.3,0.0,192,49.66403534722226
93.32718055555556,11.7,2.3,21.5,0.0,702,49.8926908333333
