date,temperature
2017-07-06,30.357507548309183
2017-07-07,30.15516983695652
2017-07-08,31.476105072463778
2017-07-09,30.759858242753623
2017-07-10,28.97137394323672
2017-07-11,27.7857095410628
2017-07-12,26.731935839371985
2017-07-13,26.695391002415462
2017-07-14,27.153851147343
2017-07-15,25.120129528985515
2017-07-16,26.671906853864737
2017-07-17,29.19493297101449
2017-07-18,30.49486322463768
2017-07-19,31.28219187801932
2017-07-20,28.94416983695653
2017-07-21,30.153991696859904
2017-07-22,30.005295742753628
2017-07-23,28.59776328502416
2017-07-24,26.388052106558906
2017-07-25,23.62077038043478
2017-07-26,23.787871980676325
2017-07-27,25.59928649264384
2017-07-28,26.635729015700488
2017-07-29,28.828176932367143
2017-07-30,29.712806763285027
2017-07-31,29.47826117149759
