humidity,temperature,weight,tavg,tmin,tmax,prcp,tsun
77.85081249999999,17.282059797705312,51.45703333333335,8.7,3.4,15.2,0.0,373
68.87836111111112,18.10880869565217,51.37619562500001,9.8,6.6,12.4,1.9,176
73.09091763565893,14.986476009680052,51.23884825258397,7.1,4.9,8.7,3.0,149
73.09091763565893,14.986476009680052,51.23884825258397,8.5,4.7,11.0,3.4,76
73.09091763565893,14.986476009680052,51.23884825258397,9.7,2.2,14.6,6.4,126
71.20763194444446,13.079857382246376,51.04238736111111,4.1,1.2,6.8,0.9,243
61.343256944444455,14.698031642512078,51.006033125,6.1,1.9,9.6,0.2,445
68.96285416666667,14.375550332125604,50.94778645833335,6.0,3.1,9.1,2.5,168
83.35396527777777,13.486175000000005,50.88019993055556,5.1,3.7,6.8,6.0,0
83.75625694444443,15.844141228864736,50.85662868055558,8.7,5.3,12.0,9.5,2
