date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity,dif_temperature,dif_weight,dif_tavg,dif_tmin,dif_tmax,dif_prcp,dif_tsun,dif_humidity
2018-03-19,0.3818124999999996,-1.2,4.1,-8.1,0.6,666,91.059767361111,49.06195451388889,LOW,-3.2488291666666678,-0.0466232638888257,-2.6,-5.0,-1.2000000000000002,0.6,571,-0.5407881944446444
2018-03-20,3.630641666666667,1.4,5.3,-4.6,0.0,593,90.92657378472214,49.10274854166661,HIGH,0.0,0.0,0.0,-1.4999999999999996,-0.4000000000000003,0.0,498,-0.1331935763888623
2018-03-21,2.8103576388888896,0.7,5.7,-6.1,1.5,95,89.75027777777763,49.01190993055549,HIGH,-2.527946527777777,-0.0900008333333701,-2.6,-6.3,-0.5,1.5,0,-1.3094895833333735
2018-03-22,5.338304166666667,4.1,6.6,0.7,0.5,0,90.80687499999992,49.10191076388886,LOW,-0.8841597222222237,0.0079961111110691,0.5999999999999996,0.1999999999999999,0.1999999999999993,0.5,-50,-0.2528923611110798
2018-03-23,6.391328472222225,3.5,6.4,1.3,0.0,50,91.60055555555564,49.10857777777772,HIGH,0.1688645833333346,0.0146631249999273,0.0,0.8,0.0,-0.1,27,0.5407881944446444
2018-03-24,7.280850694444445,5.6,9.4,3.1,0.0,0,90.32798611111104,49.11486027777782,HIGH,1.0583868055555543,0.0209456250000314,2.1,2.6,3.0,-0.1,-18,-1.1284722222225554
2018-03-25,8.34508405797102,6.8,10.2,3.3,0.0,18,89.57791666666643,49.09391465277779,HIGH,2.122620169082129,0.0510883333333751,3.3,2.8,3.6,-0.1,0,-2.022638888889219
2018-03-26,7.671899999999998,3.3,6.2,0.2,0.0,23,91.79381944444437,49.030341666666686,LOW,1.4494361111111074,-0.0124846527777293,-0.2000000000000001,-0.3,-0.3999999999999994,-0.1,9,0.0
2018-03-27,6.222463888888891,3.7,8.0,0.5,0.1,14,91.4564583333336,49.042826319444416,HIGH,0.0,0.0124846527777293,0.4000000000000003,0.3,1.5999999999999996,0.0,-4,-0.4545833333331188
2018-03-28,5.912657638888887,2.6,4.1,0.2,14.0,0,91.91645833333338,48.984278888888895,LOW,0.0,-0.0166950694444167,-0.6999999999999997,0.0,-2.6000000000000005,13.3,-18,0.0054166666666617
2018-03-29,4.11884340277778,1.1,2.8,-0.8,0.7,10,92.45471546128913,48.98471164812242,LOW,-1.793814236111107,-0.0162623102108909,-2.2,-1.0,-3.9,-0.4000000000000001,-13,0.5436737946224071
2018-03-30,4.538333333333336,1.7,6.7,-3.7,0.0,616,91.91104166666672,48.95847416666663,HIGH,-1.3743243055555512,-0.0262374814557873,-1.6,-3.9,0.0,-1.7,583,0.0
2018-03-31,4.393887500000002,1.1,3.0,0.1,12.3,0,92.98354166666635,48.9428416666667,LOW,-1.5187701388888852,-0.0414372222221928,-2.6,-0.1,-5.0,10.6,-41,1.067083333332974
2018-04-01,3.845406944444445,1.6,4.9,-0.3,1.7,33,92.62624999999989,49.00097395833331,LOW,-2.067250694444442,0.0424997916666782,-2.1,-0.5,-3.5,0.0,-16,0.7097916666665043
2018-04-02,5.17386875,3.7,8.4,-1.6,3.6,474,90.62402777777775,48.95639631944445,HIGH,-3.54192986111111,0.0,-3.1,-3.4000000000000004,-3.6,2.3,161,-1.2870138888889642
2018-04-03,9.938907638888884,10.3,15.6,4.6,1.1,41,90.439027777778,49.01611041666662,HIGH,0.9251736111111076,0.0732687499999187,2.3000000000000007,1.7999999999999998,3.4000000000000004,-0.1999999999999999,-433,-0.1849999999997607
2018-04-04,9.013734027777776,11.9,16.1,8.6,2.7,313,90.22847222222212,48.92864958333336,HIGH,-0.9251736111111076,0.0,1.5999999999999996,4.0,3.700000000000001,1.4,-96,-0.2533830837673321
2018-04-05,12.22636111111111,8.0,12.0,2.8,1.3,49,93.83798611111102,48.8561430555555,LOW,1.0080854166666615,0.0,-2.3000000000000007,-2.0,-1.6999999999999993,0.1999999999999999,-381,3.356130805121566
2018-04-06,8.71579861111111,6.8,12.4,1.8,0.0,605,89.68363888888882,48.826696666666656,LOW,-2.502477083333339,0.0,-3.500000000000001,-3.0,-1.299999999999999,-0.2,175,-0.7982164171006332
2018-04-07,11.395291666666672,10.8,12.2,4.8,0.0,673,90.48185530598946,48.732116597222266,HIGH,0.1770159722222235,-0.0389718749999374,0.5,0.0,-3.0,-0.1,243,0.0428275282114611
2018-04-08,12.570052083333335,14.4,22.2,6.1,0.0,723,88.33680295138873,48.6235038888889,HIGH,1.3517763888888863,-0.1475845833333053,4.6,0.6999999999999993,7.0,-0.1,293,-2.145052354600722
2018-04-09,11.218275694444449,13.7,21.3,7.4,0.0,409,90.0689932725692,48.53198312499994,HIGH,0.0,-0.2391053472222637,4.299999999999999,2.0,7.600000000000001,-0.1,-21,-0.5499650607639239
2018-04-10,12.756020833333336,9.2,13.7,5.4,0.2,430,93.7154861111106,48.52162104166665,LOW,2.2470347222222244,-0.2494674305555548,-0.200000000000001,0.0,0.0,0.1,0,3.096527777777468
2018-04-11,8.151738194444444,5.8,7.7,3.9,0.0,0,91.67555555555532,48.56930506944434,LOW,-3.020727083333341,-0.2017834027778633,-4.000000000000001,-1.5000000000000004,-7.499999999999999,-0.2,-409,0.9610416666664036
2018-04-12,8.116282638888887,9.4,15.2,3.7,0.1,464,89.71097222222208,48.7710884722222,HIGH,-3.056182638888899,-0.3570604166666555,-0.4000000000000003,-1.7000000000000002,-0.5,-0.1,55,-1.003541666666834
2018-04-13,9.138270833333332,9.8,15.7,6.1,1.3,54,91.00354166666664,49.202173541666696,LOW,-2.034194444444454,0.0740246527778367,0.0,0.6999999999999993,0.0,1.1,-355,0.2890277777777186
2018-04-14,9.12652777777778,8.1,9.1,6.3,1.3,0,90.61895833333313,49.30737916666666,LOW,-2.045937500000006,0.1792302777777976,-1.700000000000001,0.8999999999999995,-6.6,1.1,-430,-0.0955555555557907
2018-04-15,10.508986111111112,8.6,11.7,4.4,2.7,6,90.71451388888892,49.25006395833344,LOW,-0.663479166666674,0.1219150694445829,-2.5,-1.3999999999999997,-5.300000000000001,2.6,-458,0.0955555555557907
2018-04-16,11.172465277777786,11.1,17.0,4.6,2.8,194,91.01874999999994,49.22582305555558,HIGH,-2.786020833333323,0.0976741666667209,-0.7000000000000011,-1.2000000000000002,-1.0,2.7,-503,1.307777777777858
2018-04-17,13.958486111111108,11.8,18.0,4.0,0.0,697,88.10668750000002,49.12814888888886,HIGH,-1.2087500000000162,0.0,-1.0,-1.7999999999999998,-1.3000000000000007,-1.3,-50,0.0
2018-04-18,16.256369791666675,15.1,22.8,5.8,0.0,759,85.09183228055944,49.03359251043109,HIGH,0.0,0.0,2.299999999999999,0.0,3.5,0.0,12,-0.8337927194405523
2018-04-19,18.845729166666665,18.1,25.0,6.7,0.0,776,83.82920138888889,48.94888458333335,HIGH,2.58935937499999,0.0,5.300000000000001,0.9000000000000004,5.699999999999999,0.0,29,-2.0964236111111063
2018-04-20,19.75676388888889,18.3,27.8,9.1,0.0,788,82.48884027777777,48.90105027777786,LOW,3.500394097222216,0.0,5.5,2.6999999999999997,8.5,0.0,41,-3.436784722222228
2018-04-21,18.420229166666672,12.8,19.3,5.4,0.0,782,85.925625,48.73046368055557,LOW,2.1638593749999977,-0.0450909722223045,0.0,-1.0,0.0,0.0,35,0.0
2018-04-22,15.167236111111125,12.8,20.9,2.0,6.2,747,85.40229166666656,48.70936465277788,LOW,-1.08913368055555,-0.0256822222222936,0.0,-4.4,1.599999999999998,6.0,0,-0.2765138888889993
2018-04-23,16.29791666666666,13.6,17.5,6.5,0.0,352,85.67880555555556,48.77555465277788,LOW,1.130680555555534,0.0450909722223045,0.7999999999999989,0.0999999999999996,-0.6999999999999993,-0.2,-101,-0.2468194444444407
2018-04-24,13.775638888888892,10.2,13.2,8.0,6.5,63,88.60541666666654,48.73504687500017,LOW,-1.3915972222222326,0.0045831944445993,-2.6000000000000014,1.5999999999999996,-5.0,6.3,-390,2.679791666666546
2018-04-25,12.98690277777778,10.2,14.2,6.4,3.3,32,88.60430555555573,48.72933180555576,LOW,-2.180333333333344,-0.0011318749998139,-2.6000000000000014,0.0,-3.8000000000000007,2.2,-320,0.0454861111112592
2018-04-26,11.439013888888894,8.7,12.6,4.8,4.8,236,88.55881944444447,48.73039687500002,LOW,-3.728222222222231,-0.0046500000001543,-3.5,-1.6000000000000003,-4.9,3.3,-103,0.0
2018-04-27,11.897208333333328,10.1,15.3,4.5,0.2,453,84.12456250000002,48.71819138888899,HIGH,-4.188520833333328,-0.0573632638888881,-0.0999999999999996,-1.9000000000000004,-0.6999999999999993,-0.9000000000000001,114,-4.434256944444442
2018-04-28,14.742538812785382,12.2,18.2,4.3,0.0,339,88.76266029555438,48.71819138888899,LOW,-1.3431903538812744,-16.812038910972127,2.0,-0.5,2.3999999999999986,-1.1,0,0.1583547399986571
2018-04-29,16.085729166666656,13.0,18.3,6.8,0.0,485,85.41824999999986,65.53023029986112,HIGH,-0.6937569444444485,-3.7091052918055434,2.8000000000000007,2.3,2.3000000000000007,-0.2,32,-3.186055555555868
2018-04-30,19.1590625,14.2,18.0,8.3,1.1,241,89.88541666666663,69.23933559166666,HIGH,0.0,-0.6258060333333475,3.299999999999999,4.000000000000001,1.3000000000000007,1.1,-244,1.1227563711122457
2018-05-01,20.92197222222224,8.1,11.9,3.3,1.5,4,87.34295424236491,69.89630010416667,LOW,1.475203125000032,0.0,-2.9000000000000004,-0.7999999999999998,-6.1,1.5,-705,-2.5424624243017178
2018-05-02,16.779486111111105,9.4,16.0,-0.5,0.0,713,84.0343100250154,69.865141625,HIGH,-3.3948888888888966,-0.2804213750000031,-2.799999999999999,-4.6,-2.1999999999999997,0.0,0,-5.999530252762355
2018-05-03,20.174375,11.0,15.8,2.3,0.0,709,90.03384027777776,70.14556300000001,HIGH,-0.7475972222222396,-0.3711522830706286,-2.0,-1.7999999999999998,-2.5,0.0,-100,0.0
2018-05-04,19.44676909722221,8.9,16.7,-0.3,0.0,809,92.38627482228397,70.51671528307064,HIGH,-1.7075086805555593,-0.9957420572071528,-5.199999999999999,-4.4,-1.8000000000000007,0.0,-18,2.3524345445062096
2018-05-05,21.154277777777768,10.9,18.5,0.9,0.0,827,95.04081944444454,71.51245734027779,HIGH,-3.257652777777782,-1.7257894930555435,-3.1999999999999997,-3.2,-3.899999999999999,0.0,0,5.006979166666781
2018-05-06,24.41193055555555,14.1,22.4,4.1,0.0,861,92.2354652777778,73.23824683333333,HIGH,-4.154451388888901,-1.9406605486111064,0.0,-2.4000000000000004,0.0,0.0,34,2.2016250000000497
2018-05-07,28.56638194444445,17.6,23.9,6.5,0.0,863,90.09915277777776,75.17890738194444,HIGH,-0.879673611111091,-1.8512720208333349,2.1000000000000014,-1.9000000000000004,1.5,0.0,36,0.0
2018-05-08,32.30199305555556,18.2,25.3,8.4,0.0,863,81.6983958333334,77.03017940277778,HIGH,2.8054236111110846,-1.4112749027777909,0.8999999999999986,-1.4000000000000004,1.400000000000002,0.0,36,-8.400756944444367
2018-05-09,32.800312500000004,19.8,26.8,10.4,0.0,857,78.81905555555554,78.44145430555557,HIGH,1.6159305555555754,-1.296204097222201,2.1999999999999997,0.4000000000000003,2.400000000000002,0.0,0,-11.070840277777847
2018-05-10,32.17416666666665,17.3,26.5,11.4,10.5,482,83.16478472222221,79.73765840277777,HIGH,0.0,-0.9042211111110988,-0.3000000000000007,1.4000000000000004,2.1000000000000014,10.5,-375,-6.475263888888918
2018-05-11,29.49656944444448,14.1,19.3,10.7,0.0,448,89.64004861111113,80.64187951388887,LOW,-2.8054236111110846,0.0,-4.1,0.2999999999999989,-5.099999999999998,0.0,-366,4.5616388888888935
